IID,sex,fa,mo,fid,pca1,pca2,pca3,pca4,pca5
89604,1,89501,89502,89,-0.0279,-0.008,-0.0053,0.0076,-0.0102
89606,2,89501,89502,89,NA,NA,NA,NA,NA
89607,2,89501,89502,89,NA,NA,NA,NA,NA
89608,2,89501,89502,89,NA,NA,NA,NA,NA
89803,1,89910,89911,89,-0.0214,0.0255,-0.0066,0.0103,-0.0163
89901,1,89912,89913,89,0.029,-0.0182,0.0012,0.0039,0.014
89902,2,89912,89913,89,0.0281,-0.0129,-4.00E-04,0.0038,0.0016
89903,2,89912,89913,89,0.0343,-0.0153,-1.00E-04,0.001,0.0027
89910,1,0,0,89,NA,NA,NA,NA,NA
89911,2,0,0,89,NA,NA,NA,NA,NA
89912,1,0,0,89,NA,NA,NA,NA,NA
89913,2,89914,89915,89,NA,NA,NA,NA,NA
89914,1,0,0,89,NA,NA,NA,NA,NA
89915,2,0,0,89,NA,NA,NA,NA,NA
89916,1,89201,89101,89,NA,NA,NA,NA,NA
90101,2,90906,90907,90,0.2503,-0.0027,0.0148,-0.0119,-0.004
90301,2,90909,90101,90,NA,NA,NA,NA,NA
90302,2,90909,90101,90,0.2572,-0.0018,0.0135,-0.0105,-0.0035
90303,2,90909,90101,90,0.2363,-0.0044,0.0154,-0.0084,-0.0038
90304,2,90909,90101,90,NA,NA,NA,NA,NA
90305,2,90909,90101,90,0.252,-0.003,0.0167,-0.0108,-0.0025
90306,1,90909,90101,90,NA,NA,NA,NA,NA
90308,1,90909,90101,90,0.2533,-0.0026,0.0137,-0.0108,-0.005
90401,2,90908,90301,90,0.2433,-0.0047,0.0114,-0.0102,-0.0014
90601,1,90906,90907,90,0.2488,-0.0018,0.0144,-0.0073,-0.0061
90901,2,0,0,90,0.4085,-0.0178,0.0977,-0.0927,0.0057
90902,2,90601,90901,90,0.326,-0.0119,0.0539,-0.0492,-0.0015
90903,2,90601,90901,90,0.3187,-0.0108,0.0526,-0.0491,-0.002
90904,2,90601,90901,90,0.3285,-0.0101,0.0551,-0.0468,9.00E-04
90906,1,0,0,90,NA,NA,NA,NA,NA
90907,2,0,0,90,NA,NA,NA,NA,NA
90908,1,0,0,90,NA,NA,NA,NA,NA
90909,1,0,0,90,NA,NA,NA,NA,NA
92101,2,92904,92903,92,-0.0071,0.0262,-0.007,0.0076,-0.0041
92201,1,0,0,92,NA,NA,NA,NA,NA
92301,2,92201,92101,92,0.0232,0.0218,-0.0027,0.0068,-0.0032
92402,2,92906,92301,92,NA,NA,NA,NA,NA
92601,2,92904,92903,92,-0.0132,0.0295,-0.0139,0.0097,-0.0063
92602,2,92904,92903,92,NA,NA,NA,NA,NA
92606,1,92904,92903,92,-0.0149,0.0269,-0.0076,0.0131,-0.0117
92701,2,92905,92601,92,-0.0255,0.031,-0.0139,0.0125,-0.0153
92702,2,92905,92601,92,NA,NA,NA,NA,NA
92703,1,92905,92601,92,-0.0224,0.0316,-0.0163,0.0101,-0.0126
92704,1,92901,92602,92,NA,NA,NA,NA,NA
92705,2,92905,92601,92,-0.0213,0.0295,-0.0163,0.0112,-0.0121
92706,2,92901,92602,92,-0.0103,0.0279,-0.0123,0.0066,-0.0035
92901,1,0,0,92,NA,NA,NA,NA,NA
92903,2,0,0,92,NA,NA,NA,NA,NA
92904,1,0,0,92,NA,NA,NA,NA,NA
92905,1,0,0,92,NA,NA,NA,NA,NA
92906,1,0,0,92,NA,NA,NA,NA,NA
95101,2,95904,95902,95,NA,NA,NA,NA,NA
95601,1,95904,95902,95,-0.0191,-0.0484,-0.0224,0.0101,0.0639
95602,2,95904,95902,95,-0.023,-0.0397,-0.0147,0.0066,0.0522
95703,2,95903,95901,95,NA,NA,NA,NA,NA
95706,1,95903,95901,95,-0.0038,-0.0058,-0.0128,0.0175,0.0175
95707,1,95903,95901,95,-0.0133,-0.0022,-0.0105,0.0177,0.0241
95709,1,95903,95901,95,NA,NA,NA,NA,NA
95710,1,95903,95901,95,NA,NA,NA,NA,NA
95715,2,95903,95901,95,-0.0035,-0.0067,-0.015,0.0192,0.0269
95901,2,0,0,95,0.0039,0.038,-0.0052,0.0185,-0.0064
95902,2,0,0,95,NA,NA,NA,NA,NA
95903,1,95904,95902,95,NA,NA,NA,NA,NA
95904,1,0,0,95,NA,NA,NA,NA,NA
96101,2,96501,96502,96,0.0466,0.0179,-0.0204,0.0202,0.001
96201,1,0,0,96,-0.0516,0.1173,0.21,-0.056,0.0674
96301,1,96201,96101,96,-8.00E-04,0.0657,0.1017,-0.018,0.0379
96501,1,0,0,96,NA,NA,NA,NA,NA
96502,2,0,0,96,0.0804,0.0206,-0.0312,0.0346,0.0044
98101,2,98910,98502,98,0.1062,0.0032,-0.0044,0.0075,-0.0017
98502,2,0,0,98,NA,NA,NA,NA,NA
98601,1,98910,98502,98,NA,NA,NA,NA,NA
98604,2,98910,98502,98,0.1019,0.0014,-0.0064,0.0079,0.007
98607,2,98910,98502,98,0.1134,-7.00E-04,-0.0013,0.0073,0.0062
98608,1,98910,98502,98,NA,NA,NA,NA,NA
98701,1,98911,98604,98,0.0626,0.0088,-0.014,0.0022,0.0019
98702,1,98911,98604,98,NA,NA,NA,NA,NA
98703,1,98601,98913,98,NA,NA,NA,NA,NA
98704,2,98912,98607,98,0.135,0.0017,-2.00E-04,0.007,-0.0011
98706,2,98608,98903,98,0.0459,-0.0209,-0.0036,0.0238,-0.0298
98801,1,98914,98915,98,NA,NA,NA,NA,NA
98901,2,98911,98604,98,NA,NA,NA,NA,NA
98902,1,98911,98604,98,0.0711,0.0027,-0.0166,0.0084,0.0021
98903,2,0,0,98,-0.004,-0.008,-0.0261,0.0348,-0.0384
98904,2,98601,98913,98,NA,NA,NA,NA,NA
98907,2,98601,98913,98,0.0517,-0.0063,-0.011,0.0179,-0.007
98910,1,98914,98915,98,NA,NA,NA,NA,NA
98911,1,0,0,98,NA,NA,NA,NA,NA
98912,1,0,0,98,NA,NA,NA,NA,NA
98913,2,0,0,98,NA,NA,NA,NA,NA
98914,1,0,0,98,NA,NA,NA,NA,NA
98915,2,0,0,98,NA,NA,NA,NA,NA
98916,1,98608,98903,98,NA,NA,NA,NA,NA
99101,2,0,0,99,NA,NA,NA,NA,NA
100101,2,100902,100901,100,0.0128,0.0162,-0.0119,0.006,-0.0037
100201,1,0,0,100,0.0056,0.0238,-0.0226,0.044,-0.0075
100301,1,100201,100101,100,NA,NA,NA,NA,NA
100601,2,100902,100901,100,NA,NA,NA,NA,NA
100702,2,100903,100601,100,0.1162,0.0078,0.0015,0.0115,-0.0011
100901,2,0,0,100,NA,NA,NA,NA,NA
100902,1,0,0,100,NA,NA,NA,NA,NA
100903,1,0,0,100,NA,NA,NA,NA,NA
101101,1,0,0,101,-0.0027,0.0205,-0.027,0.0167,-0.0272
101201,2,101910,101911,101,0.035,0.0162,-0.0077,0.0184,0.0044
101901,2,101914,101905,101,NA,NA,NA,NA,NA
101902,2,101922,101921,101,0.0666,0.0079,-0.0104,0.0125,0
101903,2,101925,101909,101,NA,NA,NA,NA,NA
101904,1,101914,101905,101,NA,NA,NA,NA,NA
101905,2,101923,101924,101,NA,NA,NA,NA,NA
101906,2,101923,101924,101,-0.0115,0.0098,-0.0204,0.0334,0.0057
101907,2,0,0,101,-0.0409,-0.071,0.0102,-0.0035,0.0712
101908,1,101913,101907,101,NA,NA,NA,NA,NA
101909,2,101922,101921,101,0.0616,0.007,-0.0092,0.0176,0.0101
101910,1,101922,101921,101,0.0753,0.0099,-0.0073,0.009,0.0032
101911,2,101923,101924,101,-0.0202,0.0114,-0.0161,0.0278,0.0023
101912,1,101914,101905,101,NA,NA,NA,NA,NA
101913,1,0,0,101,NA,NA,NA,NA,NA
101914,1,0,0,101,0.1485,-0.0259,0.0069,0.0359,0.0602
101915,2,101923,101924,101,NA,NA,NA,NA,NA
101916,2,101920,101917,101,NA,NA,NA,NA,NA
101917,2,0,0,101,NA,NA,NA,NA,NA
101920,1,101922,101921,101,NA,NA,NA,NA,NA
101921,2,0,0,101,NA,NA,NA,NA,NA
101922,1,0,0,101,NA,NA,NA,NA,NA
101923,1,0,0,101,NA,NA,NA,NA,NA
101924,2,0,0,101,NA,NA,NA,NA,NA
101925,1,0,0,101,NA,NA,NA,NA,NA
101926,1,101913,101909,101,NA,NA,NA,NA,NA
101927,1,101101,101201,101,NA,NA,NA,NA,NA
102101,1,102501,102502,102,0.0318,0.0162,-0.0221,0.0063,-0.0038
102201,2,102909,102901,102,NA,NA,NA,NA,NA
102501,1,0,0,102,-0.0343,0.0122,-0.0213,0.0204,-0.0112
102502,2,0,0,102,0.089,0.0185,-0.0135,0.0057,0.0059
102605,2,102501,102502,102,NA,NA,NA,NA,NA
102607,1,102501,102502,102,NA,NA,NA,NA,NA
102608,2,102501,102502,102,NA,NA,NA,NA,NA
102901,2,102906,102907,102,-0.0208,0.0218,-0.0108,0.014,-0.0343
102902,1,102906,102907,102,-0.019,0.0292,-0.0126,0.0192,-0.0435
102903,2,102908,102904,102,NA,NA,NA,NA,NA
102904,2,0,0,102,NA,NA,NA,NA,NA
102905,1,102101,102201,102,NA,NA,NA,NA,NA
102906,1,0,0,102,NA,NA,NA,NA,NA
102907,2,0,0,102,NA,NA,NA,NA,NA
102908,1,102906,102907,102,NA,NA,NA,NA,NA
102909,1,0,0,102,NA,NA,NA,NA,NA
103101,1,0,0,103,-0.0375,-0.1423,-0.0393,0.033,0.2528
103201,2,0,0,103,-0.0309,-0.0753,-0.0329,0.0315,0.1487
103301,2,103101,103201,103,-0.0361,-0.1116,-0.0355,0.0313,0.1939
105101,2,105911,105910,105,-0.0209,-0.0129,-0.0073,0.0184,0.0113
105201,1,0,0,105,-0.0254,0.0351,-0.0348,0.0146,-0.0067
105306,1,105201,105101,105,-0.025,0.0091,-0.0187,0.0148,0.0021
105307,1,105201,105101,105,-0.0129,0.0104,-0.0204,0.0215,0.0038
105308,2,105201,105101,105,-0.0209,-0.0155,-0.0058,0.011,0.0143
105309,1,105201,105101,105,-0.0139,0.0116,-0.0191,0.0191,0.0026
105506,1,105911,105910,105,-0.0204,-0.0292,-0.0202,0.0238,0.0494
105601,2,105911,105910,105,-0.0219,-0.0319,-0.0112,0.0241,0.0439
105602,1,105911,105910,105,-0.0226,-0.0274,-0.014,0.02,0.0402
105603,2,105911,105910,105,-0.019,-0.033,-0.0142,0.0255,0.0475
105604,2,105911,105910,105,NA,NA,NA,NA,NA
105701,2,105901,105601,105,-0.0284,0.0246,0.0363,-0.0072,0.0267
105706,1,105915,105604,105,-0.0228,-0.0225,-0.0157,0.0197,0.0326
105707,2,105913,105603,105,0.0035,-0.0035,-0.0198,0.0294,0.0229
105708,1,105901,105601,105,NA,NA,NA,NA,NA
105709,2,105901,105601,105,-0.0338,0.0218,0.0312,-0.0064,0.0137
105710,1,105901,105601,105,-0.0311,0.0209,0.0323,-7.00E-04,0.0231
105711,2,105915,105604,105,NA,NA,NA,NA,NA
105712,2,105915,105604,105,NA,NA,NA,NA,NA
105713,2,105915,105604,105,-0.0164,-0.028,-0.0116,0.0207,0.0333
105714,2,105602,105604,105,-0.0224,-0.0087,-0.0204,0.014,0.0278
105901,1,0,0,105,-0.042,0.0693,0.0816,-0.0288,0.0095
105910,2,0,0,105,NA,NA,NA,NA,NA
105911,1,0,0,105,NA,NA,NA,NA,NA
105913,1,0,0,105,NA,NA,NA,NA,NA
105915,1,0,0,105,NA,NA,NA,NA,NA
106101,2,106501,106502,106,0.2236,-0.0212,0.021,0.0111,-0.0028
106201,1,0,0,106,NA,NA,NA,NA,NA
106301,1,106201,106101,106,NA,NA,NA,NA,NA
106302,1,106201,106101,106,0.1892,2.00E-04,0.0151,0.0044,-0.001
106303,1,106201,106101,106,0.1851,-2.00E-04,0.0138,0.0049,-0.0048
106304,2,106201,106101,106,0.1797,0.0023,0.0128,0.0066,-0.001
106305,1,106201,106101,106,0.1845,-0.0015,0.0148,0.0045,-0.0039
106501,1,0,0,106,NA,NA,NA,NA,NA
106502,2,0,0,106,0.2607,-0.0116,0.0344,0.008,0.0069
106601,1,106501,106502,106,NA,NA,NA,NA,NA
106602,1,106501,106502,106,0.2518,-0.0112,0.0241,0.0042,0.0025
106603,2,106501,106502,106,NA,NA,NA,NA,NA
106604,2,106501,106502,106,0.2543,-0.0084,0.0209,0.0025,0.0025
106605,2,106501,106502,106,0.2633,-0.0106,0.0181,0.0034,9.00E-04
106701,2,106902,106603,106,0.1792,-0.0025,0.0099,-0.0011,-0.0109
106702,1,106902,106603,106,NA,NA,NA,NA,NA
106901,1,0,0,106,-0.036,-0.0724,0.0159,-0.0053,-0.0089
106902,1,0,0,106,NA,NA,NA,NA,NA
106903,1,106901,106604,106,NA,NA,NA,NA,NA
107101,1,107501,107502,107,-0.0212,0.001,-0.0018,4.00E-04,-0.0142
107201,2,0,0,107,-0.0168,-0.0341,-0.006,0.0101,2.00E-04
107501,1,107902,107903,107,-8.00E-04,-0.0431,0.0051,-0.0136,-0.0084
107502,2,0,0,107,-0.0407,0.0476,-0.0091,0.0164,-0.0237
107601,2,107501,107502,107,-0.0129,1.00E-04,-0.0035,0.0019,-0.0137
107602,2,107501,107502,107,-0.017,0.004,-0.0011,-0.0019,-0.0198
107701,2,107905,107601,107,-0.0165,0.0077,-0.0125,0.0056,-0.0102
107801,1,107902,107903,107,-0.0089,-0.0448,0.0123,-0.0168,-0.0152
107802,2,107902,107903,107,NA,NA,NA,NA,NA
107901,2,107801,107904,107,-0.0104,-0.0064,0.0056,-0.0027,-0.0105
107902,1,0,0,107,NA,NA,NA,NA,NA
107903,2,0,0,107,NA,NA,NA,NA,NA
107904,2,0,0,107,NA,NA,NA,NA,NA
107905,1,0,0,107,NA,NA,NA,NA,NA
107906,1,107101,107201,107,NA,NA,NA,NA,NA
108101,1,108903,108902,108,-0.0354,-0.1173,0.0333,-0.0289,-0.0356
108901,1,108903,108902,108,-0.0348,-0.1219,0.036,-0.0229,-0.0364
108902,2,0,0,108,NA,NA,NA,NA,NA
108903,1,0,0,108,NA,NA,NA,NA,NA
109101,1,109501,109502,109,-0.0353,-0.0689,-0.0034,0.016,0.0738
109201,2,0,0,109,-0.0394,0.091,0.137,-0.0404,0.0528
109501,1,0,0,109,-0.0304,0.0037,-0.0023,0.0286,7.00E-04
109502,2,109505,109903,109,NA,NA,NA,NA,NA
109505,1,0,0,109,-0.0419,-0.157,-0.0184,-0.0022,0.2409
109605,2,109501,109502,109,NA,NA,NA,NA,NA
109901,1,109501,109502,109,-0.0353,-0.0681,-0.009,0.0149,0.0828
109902,1,109101,109201,109,NA,NA,NA,NA,NA
109903,2,0,0,109,NA,NA,NA,NA,NA
110101,2,110501,110502,110,0.0439,-0.0023,-0.0173,0.0229,0.0051
110201,1,110902,110910,110,-0.0255,-0.1201,0.0401,-0.0379,-0.0268
110501,1,0,0,110,NA,NA,NA,NA,NA
110502,2,110935,110506,110,-0.0212,0.0015,-0.0271,0.0382,0.0122
110506,2,0,0,110,-0.0189,-0.0036,-0.0263,0.0267,0.0095
110601,2,110501,110502,110,0.0365,0.0019,-0.0161,0.0235,0.0108
110602,2,110501,110502,110,0.0385,0.0018,-0.0178,0.0233,0.0132
110603,1,110501,110502,110,0.0443,0.0062,-0.0159,0.025,0.0079
110801,2,110935,110506,110,-0.0245,0.006,-0.0235,0.0335,0.0042
110802,1,110935,110506,110,-0.0228,0.0091,-0.0247,0.0326,0.0039
110804,1,110935,110506,110,NA,NA,NA,NA,NA
110805,1,110935,110506,110,NA,NA,NA,NA,NA
110901,2,110902,110910,110,-0.0245,-0.1058,0.0388,-0.0349,-0.0284
110902,1,110931,110932,110,-0.005,-0.0921,0.0219,-0.0536,-0.0275
110903,1,110931,110932,110,-0.0021,-0.076,0.0187,-0.0478,-0.0241
110904,2,110908,110901,110,NA,NA,NA,NA,NA
110905,2,110908,110901,110,NA,NA,NA,NA,NA
110906,2,110903,110936,110,0.0029,-0.0319,0.0065,-0.0189,-0.0098
110907,2,110902,110910,110,-0.0215,-0.1139,0.0392,-0.0288,-0.0255
110908,1,0,0,110,NA,NA,NA,NA,NA
110909,1,110902,110910,110,-0.0197,-0.0976,0.035,-0.0449,-0.0379
110910,2,0,0,110,-0.0388,-0.1202,0.0507,-0.0186,-0.03
110911,1,110804,110914,110,NA,NA,NA,NA,NA
110912,2,110804,110914,110,NA,NA,NA,NA,NA
110913,2,110804,110914,110,NA,NA,NA,NA,NA
110914,2,0,0,110,NA,NA,NA,NA,NA
110915,2,110930,110921,110,0.024,-0.0716,0.0197,-0.0292,-0.0328
110916,2,110933,110915,110,0.0153,-0.0288,0.0108,-0.0066,-0.017
110917,2,110933,110915,110,0.0143,-0.0287,0.0049,-0.0135,-0.0167
110918,2,110930,110921,110,0.0293,-0.0538,0.0137,-0.0196,-0.0149
110919,1,110930,110921,110,0.0056,-0.0773,0.0092,-0.0218,0.0103
110920,2,110930,110921,110,0.0201,-0.0683,0.0125,-0.0253,-0.009
110921,2,110931,110932,110,-0.0019,-0.091,0.0224,-0.0444,-0.0287
110922,1,110930,110921,110,-0.0011,-0.0605,0.0068,-0.0127,6.00E-04
110930,1,0,0,110,NA,NA,NA,NA,NA
110931,1,0,0,110,NA,NA,NA,NA,NA
110932,2,0,0,110,NA,NA,NA,NA,NA
110933,1,0,0,110,NA,NA,NA,NA,NA
110934,1,110201,110101,110,NA,NA,NA,NA,NA
110935,1,0,0,110,NA,NA,NA,NA,NA
110936,2,0,0,110,NA,NA,NA,NA,NA
111101,1,111501,111502,111,0.0126,0.0124,-0.0093,0.0171,-5.00E-04
111201,2,0,0,111,0.0222,-0.035,-0.0175,0.0302,0.0542
111501,1,111913,111914,111,0.0545,0.0036,-0.0087,0.0048,0.0076
111502,2,111911,111912,111,0.0335,0.0135,-0.0054,0.0103,-0.0061
111601,2,111501,111502,111,0.006,-0.0243,-0.0071,0.0091,0.0278
111602,1,111501,111502,111,NA,NA,NA,NA,NA
111603,1,111501,111502,111,0.0068,-0.0233,-0.0072,0.0046,0.0254
111701,2,111910,111601,111,NA,NA,NA,NA,NA
111801,2,111911,111912,111,NA,NA,NA,NA,NA
111802,1,111913,111914,111,0.065,0.0073,-0.002,0.0044,0.0066
111901,2,111802,111905,111,0.0217,0.0279,-0.0188,0.0216,-0.0081
111902,2,111802,111905,111,0.0254,0.007,-0.0087,0.0256,-0.0152
111903,2,111802,111905,111,NA,NA,NA,NA,NA
111904,2,111802,111905,111,0.0222,0.0228,-0.0139,0.028,-0.0105
111905,2,0,0,111,-0.0149,0.0412,-0.0262,0.0407,-0.0205
111910,1,0,0,111,NA,NA,NA,NA,NA
111911,1,0,0,111,NA,NA,NA,NA,NA
111912,2,0,0,111,NA,NA,NA,NA,NA
111913,1,0,0,111,NA,NA,NA,NA,NA
111914,2,0,0,111,NA,NA,NA,NA,NA
111915,1,111101,111201,111,NA,NA,NA,NA,NA
99914,1,0,0,112,NA,NA,NA,NA,NA
99915,2,0,0,112,NA,NA,NA,NA,NA
112101,1,112501,112502,112,-0.0249,-0.0402,-0.0269,0.0297,0.0756
112201,2,0,0,112,-0.034,-0.1259,-0.0118,0.0041,0.1282
112501,1,0,0,112,-0.0383,-0.0801,-0.0353,0.0412,0.1357
112502,2,0,0,112,NA,NA,NA,NA,NA
112601,1,112501,112502,112,-0.0283,-0.0389,-0.0244,0.0328,0.0759
112901,1,112101,112201,112,NA,NA,NA,NA,NA
113101,1,0,0,113,NA,NA,NA,NA,NA
113202,2,0,0,113,NA,NA,NA,NA,NA
113901,2,113101,113202,113,NA,NA,NA,NA,NA
114101,1,114922,114502,114,NA,NA,NA,NA,NA
114502,2,114920,114921,114,NA,NA,NA,NA,NA
114602,2,114922,114502,114,NA,NA,NA,NA,NA
114603,2,114922,114502,114,-0.0228,0.0036,-0.0155,0.0079,0.0073
114803,1,114920,114921,114,NA,NA,NA,NA,NA
114901,1,114927,114926,114,-0.0131,0.0189,-0.0162,-0.0076,-0.0125
114902,2,114920,114921,114,-0.0195,0.002,-0.0121,0.0137,0.0105
114903,2,114920,114921,114,NA,NA,NA,NA,NA
114904,1,0,0,114,0.0159,0.0242,-0.0223,0.0278,0.0042
114905,2,114904,114903,114,-0.0094,0.0084,-0.0144,0.0218,0.0099
114906,2,114904,114903,114,-0.003,0.0176,-0.0189,0.0213,0.0093
114907,1,114904,114903,114,-0.0021,0.0118,-0.018,0.0239,0.0127
114908,1,114904,114903,114,-0.0101,0.0098,-0.0187,0.0228,0.0053
114909,2,114904,114903,114,NA,NA,NA,NA,NA
114910,1,114904,114903,114,NA,NA,NA,NA,NA
114911,1,114803,114923,114,NA,NA,NA,NA,NA
114912,1,114904,114903,114,NA,NA,NA,NA,NA
114920,1,0,0,114,NA,NA,NA,NA,NA
114921,2,0,0,114,NA,NA,NA,NA,NA
114922,1,0,0,114,NA,NA,NA,NA,NA
114923,2,0,0,114,NA,NA,NA,NA,NA
114924,1,114904,114903,114,-0.0028,0.0201,-0.0255,0.0197,0.0065
114925,1,0,0,114,NA,NA,NA,NA,NA
114926,2,114925,114928,114,NA,NA,NA,NA,NA
114927,1,0,0,114,NA,NA,NA,NA,NA
114928,2,114920,114921,114,NA,NA,NA,NA,NA
117101,2,117921,117920,117,0.013,0.0134,-0.0151,0.0167,-0.0097
117601,1,117921,117920,117,NA,NA,NA,NA,NA
117602,1,117921,117920,117,0.0222,0.0145,-0.0129,0.0154,-0.0138
117603,1,117921,117920,117,NA,NA,NA,NA,NA
117605,2,117921,117920,117,0.0247,0.0162,-0.0122,0.0128,-0.0095
117607,2,117921,117920,117,0.0207,0.0173,-0.0121,0.0154,-0.0155
117701,1,117906,117607,117,-0.0033,0.0211,-0.0119,0.0149,-0.0124
117703,2,117601,117903,117,-0.0023,0.024,-0.0273,0.022,-0.0028
117706,1,117923,117605,117,-3.00E-04,0.0059,-0.0115,0.0152,-0.0039
117709,2,117923,117605,117,-0.0023,0.0048,-0.0119,0.0167,-0.0032
117901,2,0,0,117,NA,NA,NA,NA,NA
117902,1,0,0,117,-0.0351,0.0334,-0.0226,0.0169,-0.0149
117903,2,0,0,117,-0.0361,0.0374,-0.05,0.0294,9.00E-04
117904,2,117925,117924,117,-0.0308,-0.0097,-0.026,0.0111,0.0364
117905,1,117902,117901,117,-0.0304,0.0303,-0.0106,0.0158,-0.0137
117906,1,117902,117901,117,-0.0281,0.0286,-0.0148,0.0152,-0.0143
117907,1,117925,117924,117,NA,NA,NA,NA,NA
117908,1,117910,117709,117,NA,NA,NA,NA,NA
117909,1,117905,117912,117,-0.0074,0.0339,-0.0197,0.0202,-0.0276
117910,1,0,0,117,NA,NA,NA,NA,NA
117911,1,117925,117924,117,-0.0289,-0.0066,-0.0223,0.0051,0.0328
117912,2,0,0,117,-0.0027,0.03,-0.0286,0.0252,-0.0333
117920,2,0,0,117,NA,NA,NA,NA,NA
117921,1,0,0,117,NA,NA,NA,NA,NA
117923,1,0,0,117,NA,NA,NA,NA,NA
117924,2,117902,117901,117,NA,NA,NA,NA,NA
117925,1,0,0,117,NA,NA,NA,NA,NA
119101,2,0,0,119,-0.0304,0.0367,-0.0176,0.0267,0.0111
119201,1,119902,119903,119,-0.0329,0.0481,0.029,0.0013,0.0017
119304,2,119201,119101,119,NA,NA,NA,NA,NA
119901,2,119902,119903,119,NA,NA,NA,NA,NA
119902,1,0,0,119,NA,NA,NA,NA,NA
119903,2,0,0,119,NA,NA,NA,NA,NA
120101,2,120902,120502,120,-0.0428,0.1321,0.281,-0.0757,0.1024
120201,1,120902,120502,120,NA,NA,NA,NA,NA
120301,1,120201,120101,120,-0.0387,0.0887,0.1954,-0.0511,0.0628
120502,2,0,0,120,-0.0364,0.0989,0.1776,-0.044,0.0703
120602,2,120902,120502,120,-0.0465,0.1329,0.2852,-0.0745,0.1049
120901,2,120902,120502,120,-0.0474,0.1294,0.2795,-0.0733,0.1025
120902,1,0,0,120,-0.0575,0.1638,0.3729,-0.1034,0.1333
122101,2,0,0,122,-0.0303,-0.1782,0.0612,-0.0254,-0.0372
122301,2,122901,122101,122,-0.0332,-0.0787,0.029,-0.0103,-0.0433
122401,2,122902,122301,122,-0.0257,-0.0808,0.0335,-0.021,-0.0653
122901,1,0,0,122,NA,NA,NA,NA,NA
122902,1,0,0,122,NA,NA,NA,NA,NA
15101,2,15939,15502,123,NA,NA,NA,NA,NA
15201,1,15937,15938,123,NA,NA,NA,NA,NA
15301,1,15201,15101,123,-0.019,-0.0623,0.0072,0.0054,0.0087
15302,1,15201,15101,123,NA,NA,NA,NA,NA
15303,2,15201,15101,123,-0.0228,-0.0635,0.0114,-9.00E-04,-0.0024
15304,2,15201,15101,123,-0.021,-0.0699,0.0036,0.0055,0.0191
15502,2,15935,15936,123,-0.0026,-0.0036,-0.0079,0.0026,-0.0054
15601,1,15939,15502,123,-0.0118,-0.0632,0.0146,-0.0084,-0.005
15602,2,15939,15502,123,-0.0107,-0.063,0.0119,-0.0034,-0.0083
15603,1,15939,15502,123,-0.015,-0.0668,0.0119,-0.0073,-0.015
15604,2,15939,15502,123,-0.0113,-0.0684,0.0144,-0.0115,-0.0179
15605,1,15939,15502,123,NA,NA,NA,NA,NA
15701,1,15912,15602,123,-0.0219,-0.0096,-0.0082,0.014,-0.0774
15702,1,15941,15604,123,NA,NA,NA,NA,NA
15703,1,15603,15914,123,-0.0234,-0.0142,-0.0116,0.0032,-0.0378
15802,1,0,0,123,-0.0349,-0.1406,-0.0149,0.0257,0.1947
15808,2,15935,15936,123,0.0016,0.0018,-0.0146,0.0018,-0.0034
15901,2,15802,15808,123,-0.0177,-0.0758,-0.0138,0.0114,0.094
15902,2,15925,15901,123,-0.0302,-0.1432,0.0214,-0.0353,0.0314
15903,2,15925,15901,123,-0.0272,-0.1366,0.0177,-0.0443,0.0287
15904,2,15925,15901,123,NA,NA,NA,NA,NA
15905,1,15802,15808,123,NA,NA,NA,NA,NA
15906,1,15802,15808,123,-0.0219,-0.074,-0.0113,0.0139,0.0907
15907,1,15925,15901,123,-0.0277,-0.122,0.0241,-0.0348,0.0032
15908,2,15802,15808,123,-0.0177,-0.0753,-0.0136,0.0112,0.0934
15910,2,0,0,123,-0.0343,0.0581,-0.0891,-0.162,0.0105
15911,2,15601,15910,123,-0.015,-0.0019,-0.0391,-0.0713,0.0064
15912,1,0,0,123,-0.0385,0.0401,-0.0288,0.0274,-0.1514
15913,2,15802,15808,123,-0.0145,-0.0718,-0.0097,0.0207,0.093
15914,2,0,0,123,-0.0279,0.0256,-0.0395,0.0158,-0.0411
15915,2,15940,15908,123,-0.0268,-0.1213,0.0294,-0.0253,-2.00E-04
15916,2,0,0,123,-0.0392,-0.15,-0.0345,0.037,0.248
15917,1,15802,15808,123,-0.0184,-0.0756,-0.015,0.0104,0.094
15918,1,15917,15916,123,NA,NA,NA,NA,NA
15919,2,15937,15938,123,NA,NA,NA,NA,NA
15920,1,15937,15938,123,NA,NA,NA,NA,NA
15921,1,15937,15938,123,-0.0246,-0.0631,0.0039,0.003,0.0195
15922,1,15917,15916,123,-0.0331,-0.1185,-0.0166,0.0284,0.1607
15923,2,15905,15924,123,-0.0245,-0.0541,0.0068,0.0157,0.0513
15924,2,0,0,123,-0.0337,-0.0113,0.0218,0.0082,-0.0152
15925,1,0,0,123,-0.0432,-0.1968,0.056,-0.0865,-0.0518
15926,2,15802,15808,123,-0.0198,-0.0658,-0.0113,0.0082,0.087
15935,1,0,0,123,NA,NA,NA,NA,NA
15936,2,0,0,123,NA,NA,NA,NA,NA
15937,1,0,0,123,NA,NA,NA,NA,NA
15938,2,0,0,123,NA,NA,NA,NA,NA
15939,1,0,0,123,NA,NA,NA,NA,NA
15940,1,0,0,123,NA,NA,NA,NA,NA
15941,1,0,0,123,NA,NA,NA,NA,NA
