IID,sex,fa,mo,fid,pca1,pca2,pca3,pca4,pca5
68949,1,0,0,68,NA,NA,NA,NA,NA
68950,1,0,0,68,NA,NA,NA,NA,NA
68951,1,0,0,68,NA,NA,NA,NA,NA
68952,1,0,0,68,NA,NA,NA,NA,NA
68953,1,0,0,68,NA,NA,NA,NA,NA
68954,2,0,0,68,NA,NA,NA,NA,NA
99820,2,0,0,68,NA,NA,NA,NA,NA
99821,1,0,0,68,NA,NA,NA,NA,NA
116101,2,68943,11650299,68,-0.0252,-0.0271,-0.0114,0.0145,0.0251
116201,1,0,0,68,-0.0159,0.0246,-0.0664,0.0361,0.0113
116602,2,68943,11650299,68,-0.021,-0.0195,-0.0144,0.0144,0.0206
116603,2,68943,11650299,68,-0.0083,-0.0237,-0.0135,0.0198,0.02
116608,1,68943,11650299,68,-0.0211,-0.0255,-0.0131,0.0128,0.0215
116905,2,0,0,68,NA,NA,NA,NA,NA
116909,2,68947,116905,68,NA,NA,NA,NA,NA
116910,1,68947,116905,68,NA,NA,NA,NA,NA
118201,2,118915,118916,68,-0.0176,0.0196,-0.0312,0.0064,0.0087
118301,1,116608,118201,68,-0.0174,-0.0015,-0.0194,0.005,0.009
118309,2,116608,118201,68,-0.0163,0.0035,-0.0183,0.013,0.0061
118606,2,68943,11650299,68,NA,NA,NA,NA,NA
118608,2,68943,11650299,68,-0.019,-0.024,-0.0098,0.0177,0.0334
118702,1,11690199,116602,68,-0.0316,0.0217,-0.0386,-0.0989,0.033
118703,1,11690199,116602,68,NA,NA,NA,NA,NA
118704,1,1090799,116603,68,-0.0281,0.0157,-0.0435,-0.1077,0.0343
118705,1,116201,116101,68,-0.0169,-8.00E-04,-0.0428,0.0247,0.0218
118706,1,118901,118606,68,NA,NA,NA,NA,NA
118901,1,0,0,68,NA,NA,NA,NA,NA
118902,1,99821,99820,68,-0.0153,6.00E-04,-0.017,0.0207,0.015
118903,2,118915,118916,68,-0.0203,0.0207,-0.027,0.0018,0.0135
118904,1,118915,118916,68,NA,NA,NA,NA,NA
118905,2,0,0,68,-0.0249,0.0317,-0.1234,-0.1505,0.0396
118906,2,118907,118905,68,-0.0242,0.0285,-0.0694,-0.0692,0.0139
118907,1,118915,118916,68,-0.021,0.0222,-0.0313,-2.00E-04,0.0072
118915,1,0,0,68,NA,NA,NA,NA,NA
118916,2,0,0,68,NA,NA,NA,NA,NA
118917,1,118902,118903,68,NA,NA,NA,NA,NA
1090799,1,0,0,68,NA,NA,NA,NA,NA
11650299,2,0,0,68,NA,NA,NA,NA,NA
11690199,1,0,0,68,NA,NA,NA,NA,NA
69101,2,69912,69913,69,-0.0262,0.0297,-0.0181,-0.0111,-0.003
69201,1,0,0,69,0.0157,0.0262,-0.0381,-0.0309,-0.0167
69301,2,69201,69101,69,-0.0048,0.0302,-0.0256,-0.0187,-0.0114
69302,2,69201,69101,69,0.0064,0.0259,-0.0238,-0.0216,-0.0109
69901,1,69912,69913,69,NA,NA,NA,NA,NA
69902,2,69901,69903,69,-0.026,0.0176,-0.0215,0.0087,0.0036
69903,2,0,0,69,NA,NA,NA,NA,NA
69904,2,0,0,69,-0.0239,-0.0015,-0.0032,0.0018,-0.0321
69905,1,69912,69913,69,NA,NA,NA,NA,NA
69906,2,69901,69903,69,-0.0251,0.0195,-0.0223,0.0072,0.0028
69907,2,69901,69903,69,-0.0252,0.0198,-0.0236,0.0073,-0.0011
69908,2,69905,69904,69,NA,NA,NA,NA,NA
69909,1,69910,69908,69,NA,NA,NA,NA,NA
69910,1,69916,69914,69,-0.0186,0.0142,-0.0283,-0.0218,0.0264
69911,1,69901,69903,69,NA,NA,NA,NA,NA
69912,1,0,0,69,NA,NA,NA,NA,NA
69913,2,69918,69917,69,NA,NA,NA,NA,NA
69914,2,0,0,69,NA,NA,NA,NA,NA
69916,1,69918,69917,69,NA,NA,NA,NA,NA
69917,2,0,0,69,NA,NA,NA,NA,NA
69918,1,0,0,69,NA,NA,NA,NA,NA
28954,1,102902,70910,70,-0.0175,0.0298,-0.0111,0.0136,-0.0324
70101,2,70917,70918,70,-0.0079,0.023,-0.0105,0.0146,-0.0115
